distance,regular,discounted
1,8.00,6.50
2,8.00,6.50
3,8.00,6.50
4,8.00,6.50
5,9.50,7.50
6,10.75,8.75
7,12.25,9.75
8,13.50,11.00
9,15.00,12.00
10,16.50,13.25
11,17.75,14.25
12,19.25,15.50
13,20.50,16.50
14,22.00,17.75
15,23.50,18.75
16,24.75,19.75
17,26.25,21.00
18,27.50,22.25
19,29.00,23.25
20,30.50,24.50
21,31.75,25.50
22,33.25,26.75
23,34.50,27.75
24,36.00,28.75
25,37.50,30.00
26,38.75,31.00
27,40.25,32.25
28,41.50,33.25
29,43.00,34.50
30,44.50,35.50
31,45.75,36.75
32,47.25,37.75
33,48.50,38.75
34,50.00,40.00
35,51.50,41.25
36,52.75,42.25
37,54.25,43.50
38,55.50,44.50
39,57.00,45.75
40,58.50,46.75
41,59.75,47.75
42,61.25,49.00
43,62.50,50.00
44,64.00,51.25
45,65.50,52.50
46,66.75,53.50
47,68.25,54.75
48,69.50,55.75
49,71.00,56.75
50,72.50,58.00
